"","Province","U_R","COICOP","Products","Weights","Date","Index","Source"
"Rural.1","0","2","00","GENERAL INDEX (CPI)",10000,2009-02-01,79.0448481908017,"Rural"
"Rural.2","0","2","00","GENERAL INDEX (CPI)",10000,2009-03-01,81.7712864788571,"Rural"
"Rural.3","0","2","00","GENERAL INDEX (CPI)",10000,2009-04-01,81.4288923340499,"Rural"
"Rural.4","0","2","00","GENERAL INDEX (CPI)",10000,2009-05-01,82.1584208867838,"Rural"
"Rural.5","0","2","00","GENERAL INDEX (CPI)",10000,2009-06-01,79.4115762150081,"Rural"
"Rural.6","0","2","00","GENERAL INDEX (CPI)",10000,2009-07-01,82.62880889586,"Rural"
"Rural.7","0","2","00","GENERAL INDEX (CPI)",10000,2009-08-01,82.4055150152604,"Rural"
"Rural.8","0","2","00","GENERAL INDEX (CPI)",10000,2009-09-01,84.0509203809078,"Rural"
"Rural.9","0","2","00","GENERAL INDEX (CPI)",10000,2009-10-01,86.3765328469857,"Rural"
"Rural.10","0","2","00","GENERAL INDEX (CPI)",10000,2009-11-01,89.6568942645384,"Rural"
"Rural.11","0","2","00","GENERAL INDEX (CPI)",10000,2009-12-01,88.8607067831727,"Rural"
"Rural.12","0","2","00","GENERAL INDEX (CPI)",10000,2010-01-01,85.5833552217459,"Rural"
"Rural.13","0","2","00","GENERAL INDEX (CPI)",10000,2010-02-01,82.5381980989923,"Rural"
"Rural.14","0","2","00","GENERAL INDEX (CPI)",10000,2010-03-01,83.2916736056341,"Rural"
"Rural.15","0","2","00","GENERAL INDEX (CPI)",10000,2010-04-01,81.1493674700212,"Rural"
"Rural.16","0","2","00","GENERAL INDEX (CPI)",10000,2010-05-01,80.9065971913904,"Rural"
"Rural.17","0","2","00","GENERAL INDEX (CPI)",10000,2010-06-01,80.1776153157912,"Rural"
"Rural.18","0","2","00","GENERAL INDEX (CPI)",10000,2010-07-01,78.6761510125344,"Rural"
"Rural.19","0","2","00","GENERAL INDEX (CPI)",10000,2010-08-01,79.9008485986656,"Rural"
"Rural.20","0","2","00","GENERAL INDEX (CPI)",10000,2010-09-01,82.9276381687176,"Rural"
"Rural.21","0","2","00","GENERAL INDEX (CPI)",10000,2010-10-01,83.3946577268161,"Rural"
"Rural.22","0","2","00","GENERAL INDEX (CPI)",10000,2010-11-01,82.5112479276955,"Rural"
"Rural.23","0","2","00","GENERAL INDEX (CPI)",10000,2010-12-01,80.2185434315656,"Rural"
"Rural.24","0","2","00","GENERAL INDEX (CPI)",10000,2011-01-01,78.076480624078,"Rural"
"Rural.25","0","2","00","GENERAL INDEX (CPI)",10000,2011-02-01,77.8276238380443,"Rural"
"Rural.26","0","2","00","GENERAL INDEX (CPI)",10000,2011-03-01,79.036721031946,"Rural"
"Rural.27","0","2","00","GENERAL INDEX (CPI)",10000,2011-04-01,82.7773776780199,"Rural"
"Rural.28","0","2","00","GENERAL INDEX (CPI)",10000,2011-05-01,83.6755488806239,"Rural"
"Rural.29","0","2","00","GENERAL INDEX (CPI)",10000,2011-06-01,84.0236013490018,"Rural"
"Rural.30","0","2","00","GENERAL INDEX (CPI)",10000,2011-07-01,84.2060959957572,"Rural"
"Rural.31","0","2","00","GENERAL INDEX (CPI)",10000,2011-08-01,84.3858118549851,"Rural"
"Rural.32","0","2","00","GENERAL INDEX (CPI)",10000,2011-09-01,85.3759696682651,"Rural"
"Rural.33","0","2","00","GENERAL INDEX (CPI)",10000,2011-10-01,86.1185126321743,"Rural"
"Rural.34","0","2","00","GENERAL INDEX (CPI)",10000,2011-11-01,86.7239952776355,"Rural"
"Rural.35","0","2","00","GENERAL INDEX (CPI)",10000,2011-12-01,85.7102030320736,"Rural"
"Rural.36","0","2","00","GENERAL INDEX (CPI)",10000,2012-01-01,84.7373798948477,"Rural"
"Rural.37","0","2","00","GENERAL INDEX (CPI)",10000,2012-02-01,86.3161593839202,"Rural"
"Rural.38","0","2","00","GENERAL INDEX (CPI)",10000,2012-03-01,90.2719499891901,"Rural"
"Rural.39","0","2","00","GENERAL INDEX (CPI)",10000,2012-04-01,92.2927051802027,"Rural"
"Rural.40","0","2","00","GENERAL INDEX (CPI)",10000,2012-05-01,93.7915210233532,"Rural"
"Rural.41","0","2","00","GENERAL INDEX (CPI)",10000,2012-06-01,93.4105513649855,"Rural"
"Rural.42","0","2","00","GENERAL INDEX (CPI)",10000,2012-07-01,94.527801872682,"Rural"
"Rural.43","0","2","00","GENERAL INDEX (CPI)",10000,2012-08-01,95.8880093103846,"Rural"
"Rural.44","0","2","00","GENERAL INDEX (CPI)",10000,2012-09-01,97.3667800185219,"Rural"
"Rural.45","0","2","00","GENERAL INDEX (CPI)",10000,2012-10-01,99.0489058132487,"Rural"
"Rural.46","0","2","00","GENERAL INDEX (CPI)",10000,2012-11-01,98.0308900643489,"Rural"
"Rural.47","0","2","00","GENERAL INDEX (CPI)",10000,2012-12-01,95.9585987121816,"Rural"
"Rural.48","0","2","00","GENERAL INDEX (CPI)",10000,2013-01-01,94.728607632166,"Rural"
"Rural.49","0","2","00","GENERAL INDEX (CPI)",10000,2013-02-01,94.7195232122535,"Rural"
"Rural.50","0","2","00","GENERAL INDEX (CPI)",10000,2013-03-01,96.1858161699819,"Rural"
"Rural.51","0","2","00","GENERAL INDEX (CPI)",10000,2013-04-01,97.951171093042,"Rural"
"Rural.52","0","2","00","GENERAL INDEX (CPI)",10000,2013-05-01,98.3361305140449,"Rural"
"Rural.53","0","2","00","GENERAL INDEX (CPI)",10000,2013-06-01,97.7126358506703,"Rural"
"Rural.54","0","2","00","GENERAL INDEX (CPI)",10000,2013-07-01,98.7597038620818,"Rural"
"Rural.55","0","2","00","GENERAL INDEX (CPI)",10000,2013-08-01,99.3818460702194,"Rural"
"Rural.56","0","2","00","GENERAL INDEX (CPI)",10000,2013-09-01,104.792976884215,"Rural"
"Rural.57","0","2","00","GENERAL INDEX (CPI)",10000,2013-10-01,106.83301090381,"Rural"
"Rural.58","0","2","00","GENERAL INDEX (CPI)",10000,2013-11-01,106.841946175237,"Rural"
"Rural.59","0","2","00","GENERAL INDEX (CPI)",10000,2013-12-01,101.506403311517,"Rural"
"Rural.60","0","2","00","GENERAL INDEX (CPI)",10000,2014-01-01,98.7652724542899,"Rural"
"Rural.61","0","2","00","GENERAL INDEX (CPI)",10000,2014-02-01,100,"Rural"
"Rural.62","0","2","00","GENERAL INDEX (CPI)",10000,2014-03-01,103.777111502235,"Rural"
"Rural.63","0","2","00","GENERAL INDEX (CPI)",10000,2014-04-01,103.661171097423,"Rural"
"Rural.64","0","2","00","GENERAL INDEX (CPI)",10000,2014-05-01,103.663613783451,"Rural"
"Rural.65","0","2","00","GENERAL INDEX (CPI)",10000,2014-06-01,103.678866036369,"Rural"
"Rural.66","0","2","00","GENERAL INDEX (CPI)",10000,2014-07-01,103.164870635848,"Rural"
"Rural.67","0","2","00","GENERAL INDEX (CPI)",10000,2014-08-01,104.020349409775,"Rural"
"Rural.68","0","2","00","GENERAL INDEX (CPI)",10000,2014-09-01,104.215959331781,"Rural"
"Rural.69","0","2","00","GENERAL INDEX (CPI)",10000,2014-10-01,103.408288562169,"Rural"
"Rural.70","0","2","00","GENERAL INDEX (CPI)",10000,2014-11-01,101.639113342571,"Rural"
"Rural.71","0","2","00","GENERAL INDEX (CPI)",10000,2014-12-01,99.792737205618,"Rural"
"Rural.72","0","2","00","GENERAL INDEX (CPI)",10000,2015-01-01,98.5411516942084,"Rural"
"Rural.73","0","2","00","GENERAL INDEX (CPI)",10000,2015-02-01,99.9529671071287,"Rural"
"Rural.74","0","2","00","GENERAL INDEX (CPI)",10000,2015-03-01,102.38689722895,"Rural"
"Rural.75","0","2","00","GENERAL INDEX (CPI)",10000,2015-04-01,105.175672793943,"Rural"
"Rural.76","0","2","00","GENERAL INDEX (CPI)",10000,2015-05-01,104.957388899457,"Rural"
"Rural.77","0","2","00","GENERAL INDEX (CPI)",10000,2015-06-01,103.744639796353,"Rural"
"Rural.78","0","2","00","GENERAL INDEX (CPI)",10000,2015-07-01,103.595951005371,"Rural"
"Rural.79","0","2","00","GENERAL INDEX (CPI)",10000,2015-08-01,105.778851788742,"Rural"
"Rural.80","0","2","00","GENERAL INDEX (CPI)",10000,2015-09-01,107.99460290242,"Rural"
"Rural.81","0","2","00","GENERAL INDEX (CPI)",10000,2015-10-01,110.491206430573,"Rural"
"Rural.82","0","2","00","GENERAL INDEX (CPI)",10000,2015-11-01,110.764752853067,"Rural"
"Rural.83","0","2","00","GENERAL INDEX (CPI)",10000,2015-12-01,107.79485089539,"Rural"
"Rural.84","0","2","00","GENERAL INDEX (CPI)",10000,2016-01-01,106.176488481199,"Rural"
"Rural.85","0","2","00","GENERAL INDEX (CPI)",10000,2016-02-01,107.012146356886,"Rural"
"Rural.86","0","2","00","GENERAL INDEX (CPI)",10000,2016-03-01,109.049433421142,"Rural"
"Rural.87","0","2","00","GENERAL INDEX (CPI)",10000,2016-04-01,109.71939239666,"Rural"
"Rural.88","0","2","00","GENERAL INDEX (CPI)",10000,2016-05-01,109.454710923352,"Rural"
"Rural.89","0","2","00","GENERAL INDEX (CPI)",10000,2016-06-01,110.646011887623,"Rural"
"Rural.90","0","2","00","GENERAL INDEX (CPI)",10000,2016-07-01,112.188247511533,"Rural"
"Rural.91","0","2","00","GENERAL INDEX (CPI)",10000,2016-08-01,114.314555066716,"Rural"
"Rural.92","0","2","00","GENERAL INDEX (CPI)",10000,2016-09-01,116.937980801124,"Rural"
"Rural.93","0","2","00","GENERAL INDEX (CPI)",10000,2016-10-01,121.576468944901,"Rural"
"Rural.94","0","2","00","GENERAL INDEX (CPI)",10000,2016-11-01,122.486738867428,"Rural"
"Rural.95","0","2","00","GENERAL INDEX (CPI)",10000,2016-12-01,121.854708603423,"Rural"
"Rural.96","0","2","00","GENERAL INDEX (CPI)",10000,2017-01-01,121.534670256921,"Rural"
"Rural.97","0","2","00","GENERAL INDEX (CPI)",10000,2017-02-01,124.340848230148,"Rural"
"Rural.98","0","2","00","GENERAL INDEX (CPI)",10000,2017-03-01,126.201092336149,"Rural"
"Rural.99","0","2","00","GENERAL INDEX (CPI)",10000,2017-04-01,127.114572784457,"Rural"
"Rural.100","0","2","00","GENERAL INDEX (CPI)",10000,2017-05-01,125.312349542614,"Rural"
"Rural.101","0","2","00","GENERAL INDEX (CPI)",10000,2017-06-01,123.749173940888,"Rural"
"Rural.102","0","2","00","GENERAL INDEX (CPI)",10000,2017-07-01,123.915827680921,"Rural"
"Rural.103","0","2","00","GENERAL INDEX (CPI)",10000,2017-08-01,125.046327336724,"Rural"
"Rural.104","0","2","00","GENERAL INDEX (CPI)",10000,2017-09-01,127.363172448136,"Rural"
"Rural.105","0","2","00","GENERAL INDEX (CPI)",10000,2017-10-01,129.265395540484,"Rural"
"Rural.106","0","2","00","GENERAL INDEX (CPI)",10000,2017-11-01,123.721851887185,"Rural"
"Rural.107","0","2","00","GENERAL INDEX (CPI)",10000,2017-12-01,120.664280661755,"Rural"
"Rural.108","0","2","00","GENERAL INDEX (CPI)",10000,2018-01-01,120.413563991084,"Rural"
"Rural.109","0","2","00","GENERAL INDEX (CPI)",10000,2018-02-01,120.972686317245,"Rural"
"Rural.110","0","2","00","GENERAL INDEX (CPI)",10000,2018-03-01,122.573469002658,"Rural"
"Rural.111","0","2","00","GENERAL INDEX (CPI)",10000,2018-04-10,125.481995086579,"Rural"
"Rural.112","0","2","00","GENERAL INDEX (CPI)",10000,2018-05-10,126.456605064551,"Rural"
"Rural.113","0","2","00","GENERAL INDEX (CPI)",10000,2018-06-10,124.258034221917,"Rural"
"Rural.114","0","2","00","GENERAL INDEX (CPI)",10000,2018-07-10,123.533824783553,"Rural"
"Rural.115","0","2","00","GENERAL INDEX (CPI)",10000,2018-08-10,124.30640496155,"Rural"
"Rural.116","0","2","00","GENERAL INDEX (CPI)",10000,2018-09-10,123.917073287808,"Rural"
"Rural.117","0","2","00","GENERAL INDEX (CPI)",10000,2018-10-10,122.224340065043,"Rural"
"Rural.118","0","2","00","GENERAL INDEX (CPI)",10000,2018-11-10,121.551302865904,"Rural"
"Rural.119","0","2","00","GENERAL INDEX (CPI)",10000,2018-12-10,119.921041122415,"Rural"
"Rural.120","0","2","00","GENERAL INDEX (CPI)",10000,2019-01-10,119.880019307597,"Rural"
"Rural.121","0","2","00","GENERAL INDEX (CPI)",10000,2019-02-10,119.369602223907,"Rural"
"Rural.122","0","2","00","GENERAL INDEX (CPI)",10000,2019-03-10,123.018542697943,"Rural"
"Rural.123","0","2","00","GENERAL INDEX (CPI)",10000,2019-04-10,124.54972380032,"Rural"
"Rural.124","0","2","00","GENERAL INDEX (CPI)",10000,2019-05-10,125.557771747633,"Rural"
"Rural.125","0","2","00","GENERAL INDEX (CPI)",10000,2019-06-10,125.409311374193,"Rural"
"Rural.126","0","2","00","GENERAL INDEX (CPI)",10000,2019-07-10,125.163255123509,"Rural"
"Rural.127","0","2","00","GENERAL INDEX (CPI)",10000,2019-08-10,128.251967384759,"Rural"
"Rural.128","0","2","00","GENERAL INDEX (CPI)",10000,2019-09-10,131.067618845073,"Rural"
"Rural.129","0","2","00","GENERAL INDEX (CPI)",10000,2019-10-10,133.525099866313,"Rural"
"Rural.130","0","2","00","GENERAL INDEX (CPI)",10000,2019-11-10,140.436161470168,"Rural"
"Rural.131","0","2","00","GENERAL INDEX (CPI)",10000,2019-12-10,138.905336945242,"Rural"
"Rural.132","0","2","00","GENERAL INDEX (CPI)",10000,2020-01-10,137.385440947044,"Rural"
"Rural.133","0","2","00","GENERAL INDEX (CPI)",10000,2020-02-10,139.811431948818,"Rural"
"Rural.134","0","2","00","GENERAL INDEX (CPI)",10000,2020-03-10,143.358453630747,"Rural"
"Rural.135","0","2","00","GENERAL INDEX (CPI)",10000,2020-04-10,139.080440609082,"Rural"
"Rural.136","0","2","00","GENERAL INDEX (CPI)",10000,2020-05-10,138.698669652657,"Rural"
"Rural.137","0","2","00","GENERAL INDEX (CPI)",10000,2020-06-10,139.472165824541,"Rural"
"Rural.138","0","2","00","GENERAL INDEX (CPI)",10000,2020-07-10,141.731210181478,"Rural"
"Rural.139","0","2","00","GENERAL INDEX (CPI)",10000,2020-08-10,144.171330841757,"Rural"
"Rural.140","0","2","00","GENERAL INDEX (CPI)",10000,2020-09-10,147.079220511749,"Rural"
"Rural.141","0","2","00","GENERAL INDEX (CPI)",10000,2020-10-10,148.019759898126,"Rural"
"Rural.142","0","2","00","GENERAL INDEX (CPI)",10000,2020-11-10,146.996539790671,"Rural"
"Rural.143","0","2","00","GENERAL INDEX (CPI)",10000,2020-12-10,144.554940814841,"Rural"
"Rural.144","0","2","00","GENERAL INDEX (CPI)",10000,2021-01-10,142.862589937377,"Rural"
"Rural.145","0","2","00","GENERAL INDEX (CPI)",10000,2021-02-10,143.621131258794,"Rural"
"Rural.146","0","2","00","GENERAL INDEX (CPI)",10000,2021-03-10,145.577338187752,"Rural"
"Rural.147","0","2","00","GENERAL INDEX (CPI)",10000,2021-04-10,143.265429869086,"Rural"
"Rural.148","0","2","00","GENERAL INDEX (CPI)",10000,2021-05-10,139.710433926589,"Rural"
"Rural.149","0","2","00","GENERAL INDEX (CPI)",10000,2021-06-10,139.920105734446,"Rural"
"Rural.150","0","2","00","GENERAL INDEX (CPI)",10000,2021-07-10,139.318257434308,"Rural"
"Rural.151","0","2","00","GENERAL INDEX (CPI)",10000,2021-08-10,140.204731677489,"Rural"
"Rural.152","0","2","00","GENERAL INDEX (CPI)",10000,2021-09-10,140.053865835354,"Rural"
"Rural.153","0","2","00","GENERAL INDEX (CPI)",10000,2021-10-10,139.138801660729,"Rural"
"Rural.154","0","2","00","GENERAL INDEX (CPI)",10000,2021-11-10,137.589092397878,"Rural"
"Rural.155","0","2","00","GENERAL INDEX (CPI)",10000,2021-12-10,137.757277521392,"Rural"
"Rural.156","0","2","00","GENERAL INDEX (CPI)",10000,2022-01-10,141.722323758521,"Rural"
"Rural.157","0","2","00","GENERAL INDEX (CPI)",10000,2022-02-10,148.040275660385,"Rural"
"Rural.158","0","2","00","GENERAL INDEX (CPI)",10000,2022-03-10,151.861967345131,"Rural"
"Rural.159","0","2","00","GENERAL INDEX (CPI)",10000,2022-04-10,159.010955807937,"Rural"
"Rural.160","0","2","00","GENERAL INDEX (CPI)",10000,2022-05-10,162.624366899952,"Rural"
"Rural.161","0","2","00","GENERAL INDEX (CPI)",10000,2022-06-10,165.004383390763,"Rural"
"Rural.162","0","2","00","GENERAL INDEX (CPI)",10000,2022-07-10,170.704977080173,"Rural"
"Rural.163","0","2","00","GENERAL INDEX (CPI)",10000,2022-08-10,173.354270761946,"Rural"
"Rural.164","0","2","00","GENERAL INDEX (CPI)",10000,2022-09-10,179.914635752875,"Rural"
"Rural.165","0","2","00","GENERAL INDEX (CPI)",10000,2022-10-10,193.612887068096,"Rural"
"Rural.166","0","2","00","GENERAL INDEX (CPI)",10000,2022-11-10,196.59144151714,"Rural"
"Rural.167","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-02-01,74.3700031210439,"Rural"
"Rural.168","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-03-01,77.858273082694,"Rural"
"Rural.169","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-04-01,77.4567204525217,"Rural"
"Rural.170","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-05-01,78.788025796999,"Rural"
"Rural.171","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-06-01,75.0096221927713,"Rural"
"Rural.172","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-07-01,79.4799365617784,"Rural"
"Rural.173","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-08-01,79.3309989540428,"Rural"
"Rural.174","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-09-01,81.2314900771076,"Rural"
"Rural.175","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-10-01,84.4482148558609,"Rural"
"Rural.176","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-11-01,89.900683268361,"Rural"
"Rural.177","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2009-12-01,88.4575567876725,"Rural"
"Rural.178","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-01-01,83.4439782498209,"Rural"
"Rural.179","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-02-01,79.077630820399,"Rural"
"Rural.180","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-03-01,79.8237958048483,"Rural"
"Rural.181","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-04-01,77.6797643992512,"Rural"
"Rural.182","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-05-01,77.1571862883276,"Rural"
"Rural.183","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-06-01,75.505046512542,"Rural"
"Rural.184","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-07-01,73.2612505975356,"Rural"
"Rural.185","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-08-01,74.7964373017248,"Rural"
"Rural.186","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-09-01,79.456201603846,"Rural"
"Rural.187","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-10-01,79.9697687061488,"Rural"
"Rural.188","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-11-01,78.7031367679931,"Rural"
"Rural.189","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2010-12-01,75.5197563972099,"Rural"
"Rural.190","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-01-01,72.0732544396099,"Rural"
"Rural.191","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-02-01,71.6366404295776,"Rural"
"Rural.192","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-03-01,73.47133095918,"Rural"
"Rural.193","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-04-01,78.5314211884164,"Rural"
"Rural.194","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-05-01,78.2406970788365,"Rural"
"Rural.195","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-06-01,79.4191301874366,"Rural"
"Rural.196","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-07-01,79.6346139721929,"Rural"
"Rural.197","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-08-01,79.5658782164838,"Rural"
"Rural.198","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-09-01,81.1660224924929,"Rural"
"Rural.199","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-10-01,82.1156959198401,"Rural"
"Rural.200","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-11-01,83.1928820227302,"Rural"
"Rural.201","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2011-12-01,82.2060886551315,"Rural"
"Rural.202","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-01-01,80.0975959527585,"Rural"
"Rural.203","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-02-01,82.4032458667362,"Rural"
"Rural.204","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-03-01,88.103802172288,"Rural"
"Rural.205","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-04-01,90.7884826705823,"Rural"
"Rural.206","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-05-01,92.9955316568987,"Rural"
"Rural.207","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-06-01,92.2821374609279,"Rural"
"Rural.208","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-07-01,93.5485720485625,"Rural"
"Rural.209","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-08-01,95.45384793855,"Rural"
"Rural.210","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-09-01,97.6272519688116,"Rural"
"Rural.211","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-10-01,100.210079377073,"Rural"
"Rural.212","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-11-01,98.6934282784361,"Rural"
"Rural.213","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2012-12-01,95.5609131093524,"Rural"
"Rural.214","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-01-01,93.8568822556212,"Rural"
"Rural.215","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-02-01,93.7237586514429,"Rural"
"Rural.216","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-03-01,95.7550305330268,"Rural"
"Rural.217","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-04-01,98.5392784007014,"Rural"
"Rural.218","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-05-01,99.0641010488176,"Rural"
"Rural.219","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-06-01,98.1591694337588,"Rural"
"Rural.220","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-07-01,99.605676065682,"Rural"
"Rural.221","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-08-01,100.727752092311,"Rural"
"Rural.222","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-09-01,108.642398446182,"Rural"
"Rural.223","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-10-01,111.463956329086,"Rural"
"Rural.224","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-11-01,110.700903853163,"Rural"
"Rural.225","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2013-12-01,102.908328402035,"Rural"
"Rural.226","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-01-01,98.293795226195,"Rural"
"Rural.227","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-02-01,100,"Rural"
"Rural.228","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-03-01,105.791467500464,"Rural"
"Rural.229","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-04-01,105.615168869861,"Rural"
"Rural.230","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-05-01,106.793946692125,"Rural"
"Rural.231","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-06-01,106.748275775429,"Rural"
"Rural.232","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-07-01,105.504038861364,"Rural"
"Rural.233","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-08-01,106.985110939469,"Rural"
"Rural.234","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-09-01,107.193403388304,"Rural"
"Rural.235","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-10-01,105.481892178151,"Rural"
"Rural.236","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-11-01,101.701944347294,"Rural"
"Rural.237","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2014-12-01,98.5657486082598,"Rural"
"Rural.238","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-01-01,96.029709409779,"Rural"
"Rural.239","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-02-01,98.7582442616385,"Rural"
"Rural.240","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-03-01,103.204578115703,"Rural"
"Rural.241","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-04-01,108.099005352785,"Rural"
"Rural.242","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-05-01,107.798680490508,"Rural"
"Rural.243","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-06-01,105.949580080485,"Rural"
"Rural.244","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-07-01,105.091500698392,"Rural"
"Rural.245","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-08-01,109.040127054598,"Rural"
"Rural.246","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-09-01,112.515306458346,"Rural"
"Rural.247","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-10-01,117.568038422326,"Rural"
"Rural.248","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-11-01,118.176467790322,"Rural"
"Rural.249","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2015-12-01,112.406883657047,"Rural"
"Rural.250","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-01-01,109.457221365065,"Rural"
"Rural.251","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-02-01,110.474046757762,"Rural"
"Rural.252","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-03-01,114.168451816378,"Rural"
"Rural.253","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-04-01,115.342079530944,"Rural"
"Rural.254","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-05-01,114.793375384297,"Rural"
"Rural.255","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-06-01,117.305890194752,"Rural"
"Rural.256","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-07-01,120.292280688847,"Rural"
"Rural.257","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-08-01,123.893320923249,"Rural"
"Rural.258","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-09-01,128.315386726207,"Rural"
"Rural.259","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-10-01,136.92522694825,"Rural"
"Rural.260","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-11-01,138.369007732342,"Rural"
"Rural.261","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2016-12-01,137.243994325282,"Rural"
"Rural.262","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2017-01-01,135.219400994806,"Rural"
"Rural.263","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2017-02-01,139.656165741266,"Rural"
"Rural.264","0","2","01","Food and non-alcoholic beerages",4804.1578521549,2017-03-01,143.532537575103,"Rural"
